monthly_charges,total_charges,contract_type,tenure,tech_support,churn
30.46,304.6,two year,21,no,no
35.94,2012.64,two year,58,,yes
24.48,538.56,month-to-month,26,no,yes
94.52,4347.92,two year,72,yes,no
104.73,5027.04,two year,19,no,no
86.69,3554.29,one year,26,yes,yes
59.51,2915.99,month-to-month,48,yes,no
109.51,6570.6,two year,14,yes,yes
80.24,2888.64,month-to-month,72,yes,yes
53.63,53.63,,29,yes,no
34.29,171.45,two year,62,yes,yes
39.36,2440.32,month-to-month,65,yes,no
31.63,506.08,month-to-month,25,yes,yes
55.61,,two year,19,no,yes
111.47,2898.22,two year,51,no,no
36.6,109.8,two year,70,,no
24.48,122.4,month-to-month,31,yes,no
32.6,1695.2,month-to-month,34,no,no
78.84,1971,month-to-month,12,,no
20.93,41.86,two year,24,no,no
60.79,851.06,two year,16,no,yes
114.4,6520.8,one year,7,yes,no
60.96,2743.2,month-to-month,39,yes,yes
65.13,1237.47,one year,55,no,no
113.48,453.92,one year,10,no,no
74.51,4545.11,two year,1,no,no
63.8,1786.4,one year,51,no,yes
57.21,2746.08,month-to-month,40,no,no
93.68,3091.44,month-to-month,69,,no
67.18,1477.96,month-to-month,48,no,yes
38.73,1781.58,one year,3,no,no
53.32,1226.36,one year,72,yes,no
80.58,4673.64,two year,60,no,yes
50.68,1824.48,one year,44,yes,no
87.49,5599.36,two year,22,no,no
64.93,4480.17,month-to-month,56,yes,no
87.29,2618.7,month-to-month,28,yes,no
93.79,2813.7,two year,59,no,yes
109.8,2745,month-to-month,31,yes,no
98.29,,one year,3,yes,no
46.95,46.95,month-to-month,21,no,yes
114.13,,,42,yes,yes
102.85,1851.3,month-to-month,49,no,no
104.37,5218.5,two year,23,no,yes
112.08,6612.72,one year,18,no,yes
61.81,432.67,one year,28,no,yes
52.72,2425.12,month-to-month,43,,no
110.96,6990.48,two year,10,no,yes
35.95,862.8,two year,5,yes,no
65.05,3317.55,one year,42,,no
31.31,438.34,two year,38,yes,yes
52.68,2370.6,two year,64,no,yes
119.16,2502.36,one year,47,no,no
86.19,3619.98,one year,66,yes,no
93.44,4017.92,two year,8,yes,no
29.96,1857.52,one year,55,yes,yes
87.66,2016.18,month-to-month,18,no,no
53.74,3600.58,one year,30,no,no
65.15,2019.65,one year,7,no,no
64.96,4417.28,one year,40,no,no
78.17,1954.25,month-to-month,52,,no
59.31,593.1,two year,6,no,no
58.44,818.16,month-to-month,17,yes,yes
101.78,2849.84,two year,71,,no
97.79,2738.12,month-to-month,30,no,no
48.15,2600.1,two year,68,no,no
60.55,1574.3,month-to-month,13,no,yes
70.15,2946.3,month-to-month,59,yes,no
58.82,3588.02,two year,13,no,no
66.16,4101.92,one year,50,,no
30.79,369.48,one year,1,no,yes
87.96,5101.68,two year,14,no,yes
90.49,2895.68,month-to-month,67,yes,no
103.55,4556.2,one year,61,,no
89,712,month-to-month,68,yes,no
44.85,134.55,two year,7,yes,yes
58.85,1471.25,month-to-month,38,no,yes
28.81,1959.08,,13,yes,no
93.25,3730,two year,64,no,no
91.21,5563.81,one year,8,no,no
86.34,259.02,month-to-month,39,yes,no
27.27,1881.63,one year,10,yes,no
43.3,2165,month-to-month,19,no,no
96.51,6755.7,,46,yes,yes
,1280.07,month-to-month,21,no,yes
31.47,1416.15,one year,7,no,no
31.45,220.15,month-to-month,23,no,no
37.34,2016.36,,20,,yes
54.06,1513.68,month-to-month,70,,no
103.46,6828.36,one year,21,yes,no
20.38,427.98,two year,13,,yes
68.24,2115.44,month-to-month,17,yes,no
23.89,119.45,two year,3,,no
50.35,2618.2,month-to-month,60,,no
100.6,100.6,two year,70,no,no
68.42,684.2,month-to-month,44,yes,no
106.86,5449.86,two year,53,no,yes
34.8,939.6,one year,9,,no
94.84,4552.32,two year,16,yes,no
106.2,7009.2,two year,38,,no
117.06,5853,one year,26,no,no
92.23,3504.74,one year,72,no,no
108.61,4344.4,month-to-month,13,yes,no
51.19,3122.59,two year,59,yes,no
111.48,4124.76,two year,52,no,no
92.61,,month-to-month,46,yes,no
77.07,4315.92,one year,7,no,no
29.81,1490.5,two year,58,no,no
82.01,4920.6,two year,15,no,no
